Sociais Aplicadas PIBIC;;;;;;
P20;DIR01;DIR02;DIR03;DIR04;DIR05;DIR06
P21;DIR07;DIR08;DIR09;DIR10;DIR11;DIR12
P22;DIR13;DIR14;DIR15;DIR16;DIR17;DIR18
P23;DIR19;DIR20;DIR21;DIR22;DIR23;DIR24
P24;DIR25;DIR26;DIR27;DIR28;DIR29;DIR30
P25;DIR31;DIR32;DIR33;DIR34;DIR35;DIR36
P26;DIR37;DIR38;DIR39;DIR40;DIR41;DIR42
P27;DIR43;DIR44;DIR45;DIR46;DIR47;DIR48
P28;DIR49;DIR50;DIR51;DIR52;DIR53;DIR54
P38;DIR55;DIR56;DIR57;DIR58;DIR59;DIR60
P37;DIR61;DIR62;DIR63;DIR64;DIR65;DIR66
P36;DIR67;DIR68;DIR69;DIR70;DIR71;DIR72
P35;DIR73;DIR74;DIR75;DIR76;DIR77;DIR78
P34;DIR79;DIR80;DIR81;DIR82;DIR83;DIR84
P32;DIR85;DIRt01;DIRpb01;DIRpb02;DIRpb03;DIRpb04
P31;DIRpb05;DIRpb06;DIRpb07;DIRpb08;DIRpb09;DIRpb10
P30;DIRpb11;DIRpb12;DIRpb13;DIRpb14;DIRpb15;DIRpb16
P40;DIRpb17;DIRpr01;DIRpr02;DIRpr03;DIRpr04;DIRpr05
P41;DIResp01;DIResp02;DIResp03;DIResp04;ADM01;ADM02
P42;ADM03;ADM04;ADM05;ADM06;ADM07;ADM08
P43;ADM09;ADM10;ADM11;ADM12;ADM13;
P44;ADM15;ADM16;ADM17;ADM18;ADM19;ADM20
P45;ADM21;ADM22;ADM23;ADM24;ADM25;ADM26
P46;ADM27;ADM28;ADM29;ADM30;ECON01;ECON02
P47;ARQUR01;ARQUR02;ARQUR04;ARQUR05;ARQUR06;ARQUR07
P57;ARQUR08;PLAN01;PLAN02;PLAN03;PLAN04;PLAN05
P56;PLAN06;PLAN07;PLAN08;PLAN09;PLAN10;PLAN11
P55;PLAN12;PLAN13;PLAN14;PLAN15;PLAN16;PLAN17
P54;COMUN01;COMUN02;COMUN03;COMUN04;COMUN05;COMUN06
P53;COMUN07;COMUN08;COMUN09;COMUN10;COMUN11;COMUN12
P52;COMUN13;COMUN14;SS01;DES01;DES02;iDIR01
P51;iDIR02;iDIR03;iDIR04;iDIRpb01;iADM01;iPLAN01
P50;iPLAN02;iCOMUN01;iCOMUN02;iDES01;iDES02;iDES03
;;;;;;
HUMANAS PIBIC;;;;;;
P68;FILO01;FILO02;FILO03;FILO04;FILO05;FILO06
P72;FILO07;FILO08;FILO09;FILO10;FILO11;FILO12
P73;FILO13;FILO14;FILO15;FILO16;FILO17;FILO18
P69;FILO19;FILO20;FILO21;FILO22;FILO23;FILO24
P64;FILO25;FILO26;FILO27;FILO28;FILO29;FILO30
P60;FILO31;FILO32;FILO33;FILO34;FILO35;FILO36
P61;SOCIO01;SOCIO02;SOCIO03;ANTRO01;ANTRO02;ANTRO03
P65;HIST01;HIST02;HIST03;HIST04;HIST05;HIST06
